PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40053306,On value compatibility: reflections on the ethical framework for pandemic healthcare distribution.,2025,,,N/A
40052507,Dual decision-making routes for COVID-19 and influenza vaccines uptake in parents: A mixed-methods study.,2025,Meihong Dong,"Hospital-Acquired Infection Control Department, Affiliated Foshan Hospital of Southern Medical University, Foshan, Guangdong, China.",N/A
40051856,"Effectiveness of mass vaccination for prevention of hospitalization, severe disease and death due to SARS-CoV-2 omicron Ba.2 variant; A case-population study.",2025,"Hamid Reza Shamsollahi, Sobhan Younesian, Ali Nikfarjam, Zahra Nasiri, Masud Yunesian","Department of Environmental Health Engineering, School of Public Health, Tehran University of Medical Sciences, Tehran, Iran., School of Medicine, Tehran University of Medical Sciences, Tehran, Iran., Deputy of Health, Tehran University of Medical Sciences, Tehran, Iran., Department of Environmental Health Engineering, School of Public Health, Tehran University of Medical Sciences, Tehran, Iran., Department of Environmental Health Engineering, School of Public Health, Tehran University of Medical Sciences, Tehran, Iran.",N/A
40051347,Limitations of neutralizing antibody titers in COVID-19 vaccine efficacy trials and a call for additional correlates of protection.,2025,,,N/A
40050921,Hesitancy towards COVID-19 booster vaccine among healthcare workers in Bangladesh.,2025,"Homayra Rahman Shoshi, Ahamed Khairul Basher, Ashrak Shad Pyash, Md Kamal Hossain, Fahmida Chowdhury, Md Zakiul Hassan","Programme for Respiratory Infections, Infectious Disease Division, International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b), Mohakhali, Dhaka, Bangladesh., Programme for Respiratory Infections, Infectious Disease Division, International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b), Mohakhali, Dhaka, Bangladesh., Programme for Respiratory Infections, Infectious Disease Division, International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b), Mohakhali, Dhaka, Bangladesh., Programme for Respiratory Infections, Infectious Disease Division, International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b), Mohakhali, Dhaka, Bangladesh., Programme for Respiratory Infections, Infectious Disease Division, International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b), Mohakhali, Dhaka, Bangladesh., Programme for Respiratory Infections, Infectious Disease Division, International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b), Mohakhali, Dhaka, Bangladesh. zhassan@icddrb.org.",N/A
40050359,Cracking the code of a correlate of protection against SARS-CoV-2 breakthrough infection in cancer patients.,2025,"Irene Garcia-Fogeda, Christof Vulsteke, Wim Demey, Willem Lybaert, Niel Hens","Centre for Health Economics Research and Modelling Infectious Diseases (CHERMID), University of Antwerp, Universiteitsplein 1, 2610, Wilrijk, Belgium., Center for Oncological Research (CORE), Integrated Personalized and Precision Oncology Network (IPPON), University of Antwerp, Universiteitsplein 1, 2610, Wilrijk, Belgium., Department of Medical and Digestive Oncology, AZ Klina, Augustijnslei 100, 2930, Brasschaat, Belgium., Department of Medical and Digestive Oncology, VITAZ, Moerlandstraat 1, 9100, Sint-Niklaas, Belgium., Centre for Health Economics Research and Modelling Infectious Diseases (CHERMID), University of Antwerp, Universiteitsplein 1, 2610, Wilrijk, Belgium.",N/A
40049595,Sinopharm COVID-19 Vaccination during Pregnancy Triggers Thyroid Stimulating Hormone Levels in Newborns.,2025,"Aylar Vatanparast, Faeze Daghigh, Hossein Akbari","Infectious Diseases Research Center, Tabriz Medical Sciences, Islamic Azad University, Tabriz, Iran., Department of Physiology, Faculty of Medical Sciences, Tabriz Medical Sciences, Islamic Azad University, Tabriz, Iran., Department of Epidemiology and Biostatistics, Faculty of Health, Tabriz University of Medical Sciences, Tabriz, Iran.",N/A
40049248,Developmental and reproductive toxicity (DART) study of a novel SARS-CoV-2 tetravalent recombinant protein vaccine (SCTV01E) in rats.,2025,"Xiao Zhang, Jilei Jia, Gaojian Chen, Dan Meng, Juan Ma, Huimin Wang, Shaozheng Zhou, Lin Ma, Qianqian Qian, Xuejie Liu, Xuefeng Li, Liangzhi Xie","Beijing Engineering Research Center of Protein and Antibody, Sinocelltech Ltd., Beijing, 100176, China., Beijing Engineering Research Center of Protein and Antibody, Sinocelltech Ltd., Beijing, 100176, China., Beijing Engineering Research Center of Protein and Antibody, Sinocelltech Ltd., Beijing, 100176, China., Beijing Engineering Research Center of Protein and Antibody, Sinocelltech Ltd., Beijing, 100176, China., Beijing Engineering Research Center of Protein and Antibody, Sinocelltech Ltd., Beijing, 100176, China., Beijing Engineering Research Center of Protein and Antibody, Sinocelltech Ltd., Beijing, 100176, China., Beijing Engineering Research Center of Protein and Antibody, Sinocelltech Ltd., Beijing, 100176, China., Beijing Engineering Research Center of Protein and Antibody, Sinocelltech Ltd., Beijing, 100176, China., Beijing Engineering Research Center of Protein and Antibody, Sinocelltech Ltd., Beijing, 100176, China., Beijing Engineering Research Center of Protein and Antibody, Sinocelltech Ltd., Beijing, 100176, China., Beijing Engineering Research Center of Protein and Antibody, Sinocelltech Ltd., Beijing, 100176, China., Beijing Engineering Research Center of Protein and Antibody, Sinocelltech Ltd., Beijing, 100176, China; Beijing Key Laboratory of Monoclonal Antibody Research and Development, Sino Biological Inc., Beijing 100176, China; Cell Culture Engineering Center, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing 100005, China. Electronic address: LX@sinocelltech.com.",N/A
40048931,Durability of COVID-19 vaccine and infection induced immunity: A systematic review and meta-regression analysis.,2025,,,N/A
40046975,Heart-breaking tumours: a case series of malignant pericardial effusion.,2025,"Syarifah Syafiqah Wan Muhamad Hatta, Abdur Rahman Mirza, Nadia Sunni, Ahmed Bashir","Department of Cardiology, Walsall Healthcare NHS Trust, Walsall, UK., University of Birmingham Medical School Vincent Drive, Edgbaston, Birmingham B15 2TT, UK., Department of Cardiology, Walsall Healthcare NHS Trust, Walsall, UK., Department of Cardiology, Walsall Healthcare NHS Trust, Walsall, UK.",N/A
